Midnight in the Garden of Art and Science,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Naptime,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Nightmare at the Bayou,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Observing Closely,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Ponds Edge,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Questions,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Recital,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Resting,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
School Children,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Seated Model,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Silk Road,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
St John's Pond,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Staying a Float,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Armchair Traveler,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Cosmic Car Theory,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Dance,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Hall,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Library,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Parade,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
The Road to the Market,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
The Tall Tale,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
The Waiting Room,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
They Could Not Be Caught,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
They Talked of Religion,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
They Thought About the Day Over Coffee,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
They Waited,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Travel Picture,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Under the Bridge,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
Under the Island,"11"" X 14"" mat",2006-2008,Pencil on paper,150,Drawings and Black and White Prints,,,,,
While he Sat his Thoughts Wondered,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
Wrestlers,"11"" X 14"" mat",2006-2008,Ink on paper,150,Drawings and Black and White Prints,,,,,
"WWI Soldier, Reaction to Gross Print","6.5"" x 10""",2017,Reed and Ink,150,Drawings and Black and White Prints,,,,,
Boats,"6.5"" x 9.5""",1975,Graphite,150,Drawings and Black and White Prints,,,,,
Trenton Art All Day Site,"7.5"" x 10.5""",2015,Pen and Ink,150,Drawings and Black and White Prints,,,,,
Camp Fire,"10"" x 10""",2017,acrylic,sold,Field and Lakes,,,,,
Camp Fire 2,"10"" x 10""",2017,Acrylic,260,Field and Lakes,,,,,
Camp Fire 3,"10"" x 10""",2017,Acrylic,sold,Field and Lakes,,,,,
Pennsylvania Fishing Camp,"10"" x 13""",1998,Pastels,325,Field and Lakes,,294,,,
Assunpink Summer Fields,"11"" X 14""",2015,Watercolor on paper,400,Field and Lakes,,,,,
"Back Pasture, San Antonio","11"" x 14""",2017,Acrylic,400,Field and Lakes,,,,,
Clay Print 4,"11"" x 14""",2010,Clay,400,Field and Lakes,,,,,
Haddonfield Bridge,"11"" x 14""",,Watercolor on paper,400,Field and Lakes,,,,,
Summer Greens,"11"" x 14""",2015,Pastels,400,Field and Lakes,,,,,
"Terhune Orchard, Apple Trees","11"" x 14""",2017,Acrylic,400,Field and Lakes,,,,,
"Terhune Orchard, Cherries","11"" x 14""",2017,Acrylic,400,Field and Lakes,,,,,
Brown Field,"11"" x 14"" mat",,Watercolor on paper,400,Field and Lakes,,,,,
"Delaware Water Gap, Fall Field","11"" x 14"" mat",,Watercolor on paper,400,Field and Lakes,,,,,
Dorsey's Fishing Place,"11"" x 14"" mat",,Watercolor on paper,sold,Field and Lakes,,,,,
Early Fall Meadow,"11"" x 14"" mat",,Watercolor on paper,400,Field and Lakes,,,,,
Early Summer Corn Field,"11"" x 14"" mat",,Watercolor on paper,400,Field and Lakes,,,,,
